id,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review
1189243425411300671,61391963,Manhattan,Murray Hill,Entire home/apt,58.0,30,1,2024-08-02
651593916026998398,136812643,Brooklyn,Flatlands,Private room,80.0,30,0,
310325,745069,Manhattan,Harlem,Private room,75.0,30,31,2019-09-28
572612125615500056,358089614,Brooklyn,Sunset Park,Private room,45.0,30,6,2024-07-30
1020282701018874374,483056418,Brooklyn,Bedford-Stuyvesant,Private room,47.0,30,0,
640443472855597440,24278208,Brooklyn,Bedford-Stuyvesant,Private room,194.0,30,0,
725482656106188093,4941291,Brooklyn,Bedford-Stuyvesant,Entire home/apt,400.0,30,0,
681730243323738679,45774302,Brooklyn,Bushwick,Private room,79.0,30,14,2023-01-01
1004979479809147241,540041298,Queens,Ridgewood,Private room,45.0,30,0,
969035784970111373,534575586,Brooklyn,Bedford-Stuyvesant,Entire home/apt,225.0,30,5,2023-10-16
773237631431486588,454700211,Brooklyn,Bedford-Stuyvesant,Private room,150.0,30,1,2023-05-21
818099336473939614,162280872,Manhattan,Upper East Side,Entire home/apt,191.0,30,2,2023-08-12
1097125455525075775,563069592,Brooklyn,Downtown Brooklyn,Private room,295.0,1,23,2024-07-16
760086536368275287,736652,Brooklyn,Williamsburg,Entire home/apt,495.0,30,8,2023-07-23
1043748746630664860,547422647,Manhattan,Upper West Side,Private room,602.0,1,0,
814741679869275205,339192135,Manhattan,Morningside Heights,Private room,149.0,30,1,2023-06-25
762355634788904537,363171869,Brooklyn,Bushwick,Private room,56.0,30,2,2023-04-14
978191817244397875,39448176,Brooklyn,Williamsburg,Entire home/apt,220.0,30,0,
9735931,6501582,Brooklyn,Crown Heights,Private room,,30,9,2020-01-06
7359313,38445572,Manhattan,Murray Hill,Private room,,30,1,2015-09-21
7348925,38500630,Manhattan,Upper East Side,Entire home/apt,,30,1,2015-10-05
9796155,34202667,Brooklyn,Bushwick,Private room,,30,0,
7500030,19976579,Manhattan,East Village,Entire home/apt,,30,0,
7616651,3663218,Brooklyn,Williamsburg,Private room,,30,1,2015-08-18
7664959,40237377,Brooklyn,Sheepshead Bay,Private room,,30,0,
7726296,7375767,Brooklyn,Bedford-Stuyvesant,Entire home/apt,,30,0,
7826411,24881130,Manhattan,Lower East Side,Private room,,30,0,
10015340,51434460,Brooklyn,Williamsburg,Private room,,30,0,
7893820,1330961,Brooklyn,Williamsburg,Entire home/apt,,30,0,
10065831,51652888,Brooklyn,Bedford-Stuyvesant,Private room,,30,1,2016-01-03
10067924,36866768,Manhattan,Nolita,Entire home/apt,,30,0,
10106530,8511553,Brooklyn,Bedford-Stuyvesant,Entire home/apt,,30,6,2016-06-29
10117624,12190846,Brooklyn,Greenpoint,Entire home/apt,,30,0,
12472883,12114372,Manhattan,Gramercy,Private room,,30,0,
12426778,7963317,Brooklyn,Boerum Hill,Private room,,30,0,
12585126,24018769,Manhattan,West Village,Entire home/apt,,30,0,
6094708,31629890,Manhattan,Lower East Side,Entire home/apt,,30,0,
10679740,55165952,Brooklyn,Williamsburg,Private room,,30,0,
10813133,16326744,Brooklyn,Bushwick,Entire home/apt,,30,0,
10995810,57055185,Queens,Astoria,Private room,,30,0,
6626894,13500220,Manhattan,Upper West Side,Entire home/apt,,30,1,2015-08-02
9297852,48261452,Brooklyn,Bushwick,Entire home/apt,,30,7,2017-11-26
1147817758934173845,163313344,Bronx,Williamsbridge,Private room,,30,0,
9336526,27962518,Queens,Elmhurst,Private room,,30,0,
6901484,36166165,Brooklyn,Williamsburg,Private room,,30,1,2017-09-17
9430502,3100823,Brooklyn,Bushwick,Private room,,30,0,
9435315,35539248,Manhattan,East Village,Private room,,30,0,
11491696,60502606,Manhattan,Upper West Side,Entire home/apt,,30,0,
6927027,503555,Brooklyn,Williamsburg,Private room,,30,2,2015-12-13
6950807,36441990,Queens,Long Island City,Entire home/apt,,30,5,2016-08-13
9609825,27158859,Manhattan,Chelsea,Entire home/apt,,30,15,2017-09-15
16561213,101695430,Manhattan,Civic Center,Private room,,30,0,
13359416,28557516,Manhattan,Upper West Side,Private room,,30,0,
13653708,72002747,Manhattan,Kips Bay,Entire home/apt,,30,26,2018-05-08
13764238,80721470,Manhattan,Gramercy,Private room,,30,1,2016-07-26
19134330,133736899,Manhattan,Upper West Side,Entire home/apt,,30,1,2017-06-16
14089282,57517386,Queens,Ridgewood,Private room,,30,0,
19466060,17274880,Brooklyn,Bedford-Stuyvesant,Private room,,30,4,2017-12-27
19544404,72539408,Manhattan,Lower East Side,Entire home/apt,,30,0,
15036516,62604251,Brooklyn,Bedford-Stuyvesant,Private room,,30,0,
15145285,21255768,Manhattan,Upper East Side,Entire home/apt,,30,0,
19910666,141011662,Manhattan,Hell's Kitchen,Entire home/apt,,30,0,
20195539,143817547,Manhattan,East Harlem,Entire home/apt,,30,3,2017-10-09
1005945620349053784,146675319,Bronx,Mount Hope,Private room,200.0,30,0,
